soil_moisture,temperature,water
25,35,30
30,34,27
35,32,24
40,30,20
45,28,17

50,26,14
55,24,11
60,22,8
65,20,5
70,18,2

10,15.0,9.8
11,15.2,9.6
12,15.4,9.4
13,15.6,9.2
14,15.8,9.0
15,16.0,8.8
16,16.2,8.6
17,16.4,8.4
18,16.6,8.2
19,16.8,8.0
20,17.0,7.8
21,17.2,7.6
22,17.4,7.4
23,17.6,7.2
24,17.8,7.0
25,18.0,6.8
26,18.2,6.6
27,18.4,6.4
28,18.6,6.2
29,18.8,6.0
30,19.0,5.8
31,19.2,5.6
32,19.4,5.4
33,19.6,5.2
34,19.8,5.0
35,20.0,4.9
36,20.2,4.7
37,20.4,4.6
38,20.6,4.4
39,20.8,4.3
40,21.0,4.1
41,21.2,4.0
42,21.4,3.8
43,21.6,3.7
44,21.8,3.6
45,22.0,3.4
46,22.2,3.3
47,22.4,3.2
48,22.6,3.1
49,22.8,2.9
50,23.0,2.8
51,23.2,2.7
52,23.4,2.6
53,23.6,2.5
54,23.8,2.4
55,24.0,2.3
56,24.2,2.2
57,24.4,2.1
58,24.6,2.0
59,24.8,1.9
60,25.0,1.8
61,25.2,1.7
62,25.4,1.6
63,25.6,1.5
64,25.8,1.4
65,26.0,1.3
66,26.2,1.2
67,26.4,1.1
68,26.6,1.0
69,26.8,0.9
70,27.0,0.8
71,27.2,0.7
72,27.4,0.6
73,27.6,0.5
74,27.8,0.4
75,28.0,0.3
76,28.2,0.3
77,28.4,0.3
78,28.6,0.3
79,28.8,0.3
80,29.0,0.3
81,29.2,0.3
82,29.4,0.3
83,29.6,0.3
84,29.8,0.3
85,30.0,0.3
86,30.2,0.3
87,30.4,0.3
88,30.6,0.3
89,30.8,0.3
90,31.0,0.3
91,31.2,0.3
92,31.4,0.3
93,31.6,0.3
94,31.8,0.3
95,32.0,0.3
96,32.2,0.3
97,32.4,0.3
98,32.6,0.3
99,32.8,0.3
100,33.0,0.3
10,18.0,9.1
11,18.2,8.9
12,18.4,8.7
13,18.6,8.5
14,18.8,8.3
15,19.0,8.1
16,19.2,7.9
17,19.4,7.7
18,19.6,7.5
19,19.8,7.3
20,20.0,7.1
21,20.2,6.9
22,20.4,6.7
23,20.6,6.5
24,20.8,6.3
25,21.0,6.1
26,21.2,5.9
27,21.4,5.7
28,21.6,5.5
29,21.8,5.3
30,22.0,5.1
31,22.2,4.9
32,22.4,4.7
33,22.6,4.5
34,22.8,4.3
35,23.0,4.2
36,23.2,4.0
37,23.4,3.9
38,23.6,3.7
39,23.8,3.6
40,24.0,3.4
41,24.2,3.3
42,24.4,3.2
43,24.6,3.0
44,24.8,2.9
45,25.0,2.8
46,25.2,2.7
47,25.4,2.6
48,25.6,2.4
49,25.8,2.3
50,26.0,2.2
51,26.2,2.1
52,26.4,2.0
53,26.6,1.9
54,26.8,1.8
55,27.0,1.7
56,27.2,1.6
57,27.4,1.5
58,27.6,1.4
59,27.8,1.3
60,28.0,1.2
61,28.2,1.1
62,28.4,1.0
63,28.6,0.9
64,28.8,0.8
65,29.0,0.7
66,29.2,0.6
67,29.4,0.5
68,29.6,0.4
69,29.8,0.3
70,30.0,0.3
71,30.2,0.3
72,30.4,0.3
73,30.6,0.3
74,30.8,0.3
75,31.0,0.3
76,31.2,0.3
77,31.4,0.3
78,31.6,0.3
79,31.8,0.3
80,32.0,0.3
81,32.2,0.3
82,32.4,0.3
83,32.6,0.3
84,32.8,0.3
85,33.0,0.3
86,33.2,0.3
87,33.4,0.3
88,33.6,0.3
89,33.8,0.3
90,34.0,0.3
91,34.2,0.3
92,34.4,0.3
93,34.6,0.3
94,34.8,0.3
95,35.0,0.3
96,35.2,0.3
97,35.4,0.3
98,35.6,0.3
99,35.8,0.3
100,36.0,0.3
12,20.0,8.5
13,20.2,8.3
14,20.4,8.1
15,20.6,7.9
16,20.8,7.7
17,21.0,7.5
18,21.2,7.3
19,21.4,7.1
20,21.6,6.9
21,21.8,6.7
22,22.0,6.5
23,22.2,6.3
24,22.4,6.1
25,22.6,5.9
26,22.8,5.7
27,23.0,5.5
28,23.2,5.3
29,23.4,5.1
30,23.6,4.9
31,23.8,4.7
32,24.0,4.5
33,24.2,4.3
34,24.4,4.1
35,24.6,3.9
36,24.8,3.7
37,25.0,3.6
38,25.2,3.4
39,25.4,3.3
40,25.6,3.1
41,25.8,3.0
42,26.0,2.8
43,26.2,2.7
44,26.4,2.6
45,26.6,2.4
46,26.8,2.3
47,27.0,2.2
48,27.2,2.0
49,27.4,1.9
50,27.6,1.8
51,27.8,1.7
52,28.0,1.6
53,28.2,1.5
54,28.4,1.4
55,28.6,1.3
56,28.8,1.2
57,29.0,1.1
58,29.2,1.0
59,29.4,0.9
60,29.6,0.8
61,29.8,0.7
62,30.0,0.6
63,30.2,0.5
64,30.4,0.4
65,30.6,0.3
66,30.8,0.3
67,31.0,0.3
68,31.2,0.3
69,31.4,0.3
70,31.6,0.3
71,31.8,0.3
72,32.0,0.3
73,32.2,0.3
74,32.4,0.3
75,32.6,0.3
76,32.8,0.3
77,33.0,0.3
78,33.2,0.3
79,33.4,0.3
80,33.6,0.3
81,33.8,0.3
82,34.0,0.3
83,34.2,0.3
84,34.4,0.3
85,34.6,0.3
86,34.8,0.3
87,35.0,0.3
88,35.2,0.3
89,35.4,0.3
90,35.6,0.3
91,35.8,0.3
92,36.0,0.3
93,36.2,0.3
94,36.4,0.3
95,36.6,0.3
96,36.8,0.3
97,37.0,0.3
98,37.2,0.3
99,37.4,0.3
100,37.6,0.3

67.99,30.03,20.98
73.0,21.36,8.5
57.76,18.13,11.0
88.47,29.45,7.48
61.82,29.73,15.68
29.67,33.9,32.19
79.75,12.44,11.2
29.59,19.18,20.07
15.74,15.7,29.57
85.02,13.93,7.39
44.59,25.56,21.08
85.87,21.96,1.86
82.29,19.52,7.39
22.73,24.4,30.24
43.65,32.78,22.11
30.65,40.86,33.61
46.28,26.94,19.12
54.6,34.16,24.4
13.57,23.01,31.61
36.27,37.3,28.17
13.26,42.46,40.0
62.25,28.44,18.0
76.73,31.9,13.49
42.02,43.67,30.22
78.1,41.5,19.31
67.63,41.94,24.06
50.59,24.83,19.37
15.91,43.79,39.31
52.95,34.23,24.09
78.73,19.22,7.87
24.85,39.32,36.89
44.65,20.95,17.74
83.6,33.14,11.63
36.78,38.14,31.95
14.05,17.96,30.67
67.22,14.35,10.73
73.11,26.0,12.08
16.08,34.37,36.45
14.89,39.57,40.0
36.03,36.62,29.87
35.04,40.9,34.74
72.56,11.98,12.11
62.1,16.83,13.32
12.4,24.58,29.33
88.71,32.98,8.29
59.33,41.03,22.99
26.67,27.24,30.86
56.07,20.51,13.94
16.8,30.39,33.79
41.61,26.21,21.75
38.96,26.61,24.77
59.56,37.7,22.26
10.72,12.18,34.69
52.93,27.5,18.1
52.93,28.13,18.95
46.32,29.23,24.75
14.64,41.45,39.47
32.95,20.34,24.68
49.59,37.69,26.47
55.56,12.48,15.61
64.65,20.97,10.12
62.84,32.95,17.51
45.91,38.07,24.97
60.63,16.0,12.05
70.54,32.66,12.68
80.39,21.1,7.46
29.62,40.06,33.9
35.13,25.78,26.39
67.26,22.05,10.45
36.27,13.18,22.36
39.29,11.32,20.27
87.74,43.36,14.44
77.68,37.26,18.22
12.21,37.07,36.94
89.62,36.63,11.36
29.56,35.32,32.55
31.54,19.08,25.07
89.09,44.91,16.83
38.11,10.94,22.8
28.86,40.24,38.09
28.41,28.41,24.88
52.91,10.91,17.62
68.23,14.4,13.08
80.19,43.32,12.26
69.69,40.52,20.75
20.46,39.72,33.17
23.87,32.14,26.62
57.58,17.38,12.79
43.25,22.37,21.0
31.23,37.59,34.92
60.71,10.46,12.31
56.62,11.96,18.05
79.37,20.79,7.05
44.0,31.3,25.55
84.71,25.76,7.29
58.56,28.12,17.5
85.84,39.26,12.12
66.89,38.01,22.14
75.23,37.26,15.51
29.22,29.53,26.08
27.78,11.22,26.77
60.2,30.23,18.88
79.16,22.55,8.41
33.08,16.37,21.56
61.53,42.95,20.03
29.97,12.77,25.08
11.0,29.77,37.93
75.84,37.68,14.66
75.51,19.99,3.98
40.02,35.61,28.7
88.71,30.96,9.14
65.86,19.4,8.27
39.7,32.29,26.76
35.15,42.9,31.65
74.01,10.13,7.95
26.55,33.22,32.53
85.44,18.84,7.19
11.41,13.83,29.05
85.99,19.64,3.97
70.96,44.48,21.37
33.92,30.45,27.36
51.15,21.12,14.21
78.4,35.63,16.84
83.31,13.66,6.84
52.41,25.19,21.87
85.91,39.29,13.13
71.73,32.93,15.38
50.7,28.78,15.76
35.82,43.07,33.76
12.8,24.43,33.47
51.97,14.54,16.9
41.29,15.85,23.55
29.61,44.25,34.23
32.11,14.24,23.27
83.99,39.01,13.82
15.15,39.92,40.0
26.18,13.98,26.49
30.01,24.53,23.82
77.58,18.46,5.72
66.18,10.46,11.65
86.32,17.58,6.02
21.51,27.49,30.09
10.22,13.83,31.3
48.34,26.47,19.78
63.85,40.11,25.48
68.89,36.75,16.61
73.86,34.62,16.37
85.75,38.29,11.7
19.79,22.41,27.35
47.8,24.98,23.19
39.1,34.71,25.97
24.23,11.41,25.85
58.7,34.96,19.37
10.29,22.58,33.91
27.45,26.92,30.75
62.54,17.59,13.15
59.29,39.55,21.95
20.1,29.06,31.18
80.88,44.58,19.56
80.24,35.65,11.25
60.11,30.82,18.14
88.88,15.49,3.31
89.76,18.64,3.25
31.2,10.94,24.17
78.26,24.17,9.27
37.23,26.18,22.92
66.14,27.03,13.74
88.93,42.74,12.44
18.33,43.17,38.13
15.55,12.02,32.48
75.27,41.69,17.94
82.83,32.69,14.11
17.79,10.17,27.89
49.19,14.01,12.88
50.37,25.83,20.24
29.95,25.83,27.71
88.95,23.53,4.11
83.12,28.83,8.45
87.6,11.3,1.3
28.17,26.37,28.1
59.67,11.21,12.38
51.91,37.6,25.89
24.6,22.2,23.56
54.51,43.48,28.55
68.96,15.48,11.48
71.4,39.2,18.44
21.85,10.6,27.5
14.54,11.01,29.56
89.45,16.15,2.7
57.37,43.86,28.05
50.0,28.32,23.76
33.04,30.79,28.76
10.77,23.81,30.44
